Source,Target,Type,Id,Label,Weight
49,7,Directed,411,,124
49,6.083333333,Directed,412,,3
49,25.7265625,Directed,413,,13
22,10,Directed,420,,13
22,2,Directed,421,,46
22,18.25,Directed,422,,10
22,20,Directed,423,,10
22,19.125,Directed,424,,1
22,39.36388889,Directed,425,,3
43,13,Directed,426,,33
43,5,Directed,427,,177
43,8,Directed,428,,44
43,9.75,Directed,429,,5
43,8.875,Directed,430,,1
43,33.08446602,Directed,431,,9
55,37,Directed,432,,3
55,2,Directed,433,,29
55,19.75,Directed,435,,4
55,18.875,Directed,436,,2
55,23.57078313,Directed,437,,3
23,22,Directed,438,,16
23,2,Directed,439,,75
23,12.5,Directed,440,,53
23,14.25,Directed,441,,32
23,13.375,Directed,442,,1
23,9.447333333,Directed,443,,1
9,21,Directed,446,,91
9,22.75,Directed,447,,5
9,21.875,Directed,448,,2
9,45.83534483,Directed,449,,40
35,21,Directed,450,,11
35,3,Directed,451,,164
35,15,Directed,452,,19
35,16.75,Directed,453,,7
35,15.875,Directed,454,,1
35,91.67068966,Directed,455,,1
50,49,Directed,456,,20
50,3,Directed,457,,64
50,17.25,Directed,458,,9
50,18.125,Directed,460,,8
50,20.58125,Directed,461,,14
5,7,Directed,462,,88
5,3,Directed,463,,353
5,18.75,Directed,465,,8
5,17.875,Directed,466,,2
5,18.28802083,Directed,467,,6
31,9,Directed,468,,43
31,6,Directed,469,,178
31,7,Directed,470,,42
31,8.75,Directed,471,,4
31,7.875,Directed,472,,2
31,44.10568182,Directed,473,,102
45,7,Directed,474,,58
45,6,Directed,475,,107
45,14.75,Directed,476,,15
45,16.5,Directed,477,,12
45,15.625,Directed,478,,1
45,13.18450704,Directed,479,,180
55,3,Directed,481,,69
55,19.66666667,Directed,483,,2
55,18.83333333,Directed,484,,2
55,57.29418103,Directed,485,,1
53,53,Directed,486,,438
53,12,Directed,488,,32
53,13.66666667,Directed,489,,7
53,12.83333333,Directed,490,,2
53,13.58802083,Directed,491,,59
44,44,Directed,492,,50
44,4,Directed,493,,292
44,11.33333333,Directed,494,,1
44,13,Directed,495,,67
44,12.16666667,Directed,496,,11
44,5.2875,Directed,497,,2
39,29,Directed,498,,1
39,2,Directed,499,,160
39,8.083333333,Directed,501,,1
39,7.291666667,Directed,502,,1
39,22.06941176,Directed,503,,160
37,55,Directed,504,,3
37,5.5,Directed,506,,7
37,6.25,Directed,508,,14
5,23,Directed,510,,17
5,2,Directed,511,,203
5,5.5,Directed,512,,18
5,6.25,Directed,514,,60
5,7.913888889,Directed,515,,357
52,31,Directed,516,,9
52,5.5,Directed,518,,14
52,6.25,Directed,520,,21
52,127.9346154,Directed,521,,1
16,45,Directed,522,,7
16,3,Directed,523,,193
16,5.5,Directed,524,,5
16,7,Directed,525,,64
16,6.25,Directed,526,,9
16,91.67068966,Directed,527,,11
2,18,Directed,528,,38
2,3,Directed,529,,83
2,5.5,Directed,530,,5
2,7,Directed,531,,55
2,6.25,Directed,532,,10
2,44.04761905,Directed,533,,13
9,49,Directed,534,,76
9,11.75,Directed,538,,60
9,20.58125,Directed,539,,55
29,50,Directed,540,,4
29,1,Directed,541,,54
29,6,Directed,542,,33
29,7.5,Directed,543,,21
29,6.75,Directed,544,,30
29,8.71994382,Directed,545,,156
24,16,Directed,548,,19
24,17.5,Directed,549,,80
24,18.28802083,Directed,551,,7
31,1,Directed,553,,18
31,10.5,Directed,555,,3
31,9.75,Directed,556,,4
31,45.83534483,Directed,557,,1
1,19,Directed,558,,10
1,6,Directed,560,,41
1,7.5,Directed,561,,21
1,6.75,Directed,562,,9
19,1,Directed,564,,47
19,18,Directed,566,,26
19,19.5,Directed,567,,2
19,18.75,Directed,568,,10
19,8.671875,Directed,569,,1
52,53,Directed,570,,1
52,9,Directed,572,,26
52,10.5,Directed,573,,4
52,9.75,Directed,574,,1
53,52,Directed,576,,1
53,2,Directed,577,,35
53,19.5,Directed,579,,5
53,18.75,Directed,580,,6
53,31.98365385,Directed,581,,1
5,37,Directed,582,,6
5,19.5,Directed,584,,10
5,21,Directed,585,,14
5,20.25,Directed,586,,7
5,23.57078313,Directed,587,,6
5,7.5,Directed,590,,30
5,8.25,Directed,592,,16
37,22,Directed,594,,3
37,8.5,Directed,597,,10
37,7.75,Directed,598,,9
37,4.714156627,Directed,599,,4
22,37,Directed,600,,1
22,16.5,Directed,602,,1
22,18,Directed,603,,20
22,17.25,Directed,604,,4
22,4.714156627,Directed,605,,1
44,2,Directed,607,,35
44,17.5,Directed,608,,10
44,19,Directed,609,,12
44,18.25,Directed,610,,14
44,60.10397727,Directed,611,,3
9,38,Directed,612,,27
9,18.25,Directed,616,,242
9,60.10397727,Directed,617,,26
40,38,Directed,618,,9
40,12.5,Directed,620,,22
40,14,Directed,621,,33
40,13.25,Directed,622,,4
40,60.10397727,Directed,623,,8
9,13.5,Directed,627,,54
9,12.75,Directed,628,,68
47,38,Directed,630,,3
47,2,Directed,631,,57
47,22,Directed,632,,4
47,23.5,Directed,633,,1
47,22.75,Directed,634,,1
47,60.10397727,Directed,635,,3
47,6,Directed,638,,49
47,7.5,Directed,639,,35
47,6.75,Directed,640,,32
38,26,Directed,642,,1
38,6.5,Directed,644,,32
38,8,Directed,645,,19
38,7.25,Directed,646,,5
26,38,Directed,648,,1
26,2,Directed,649,,107
26,17,Directed,650,,79
26,18.5,Directed,651,,118
26,17.75,Directed,652,,24
26,60.10397727,Directed,653,,1
29,39,Directed,654,,1
29,2,Directed,655,,28
29,16.5,Directed,656,,3
29,18,Directed,657,,9
29,17.25,Directed,658,,1
29,22.06941176,Directed,659,,1
50,41,Directed,660,,1
50,2,Directed,661,,33
50,19.5,Directed,663,,6
50,18.75,Directed,664,,4
50,21.17010309,Directed,665,,1
41,37,Directed,666,,2
41,2,Directed,667,,165
41,18,Directed,668,,24
41,19.5,Directed,669,,3
41,18.75,Directed,670,,4
41,35.3561747,Directed,671,,1
27,14.5,Directed,675,,13
27,13.75,Directed,676,,15
1,27,Directed,678,,2
1,17,Directed,680,,9
1,18.5,Directed,681,,7
1,17.75,Directed,682,,4
1,33.08446602,Directed,683,,1
2,52,Directed,684,,3
2,2,Directed,685,,100
2,14,Directed,686,,28
2,15.5,Directed,687,,4
2,14.75,Directed,688,,4
2,31.98365385,Directed,689,,3
17,13,Directed,690,,5
17,2,Directed,691,,16
17,14.5,Directed,693,,4
17,13.75,Directed,694,,14
17,20.61428571,Directed,695,,1
50,8.671875,Directed,701,,3
1,49,Directed,702,,5
1,9,Directed,704,,43
1,10.5,Directed,705,,1
1,9.75,Directed,706,,1
1,11.5625,Directed,707,,32
49,1,Directed,708,,43
49,2,Directed,709,,29
49,19,Directed,710,,37
49,20.5,Directed,711,,5
49,11.5625,Directed,713,,1
1,53,Directed,714,,2
1,6.5,Directed,716,,64
1,8,Directed,717,,38
1,7.25,Directed,718,,13
53,1,Directed,720,,71
53,8.671875,Directed,725,,2
50,18.5,Directed,729,,21
50,17.75,Directed,730,,6
1,24,Directed,732,,3
1,3.5,Directed,734,,1
1,5,Directed,735,,13
1,4.25,Directed,736,,1
24,19.5,Directed,741,,7
24,18.75,Directed,742,,9
44,1,Directed,744,,5
44,14,Directed,746,,102
44,15.5,Directed,747,,10
44,14.75,Directed,748,,7
44,8.671875,Directed,749,,4
49,18.5,Directed,753,,42
49,17.75,Directed,754,,13
49,8.671875,Directed,755,,3
1,10.40625,Directed,761,,13
27,1,Directed,762,,13
27,18,Directed,764,,15
27,19.5,Directed,765,,4
27,18.75,Directed,766,,5
27,10.40625,Directed,767,,1
18,52,Directed,768,,9
18,13,Directed,770,,100
18,14.5,Directed,771,,17
18,13.75,Directed,772,,66
18,31.98365385,Directed,773,,7
20,49,Directed,774,,5
20,2,Directed,775,,90
20,4.5,Directed,776,,1
20,6,Directed,777,,27
20,5.25,Directed,778,,1
20,34.49743151,Directed,779,,13
49,20,Directed,780,,12
49,14,Directed,782,,66
49,15.5,Directed,783,,11
49,14.75,Directed,784,,6
49,34.49743151,Directed,785,,2
10,14,Directed,786,,59
10,2,Directed,787,,138
10,20,Directed,788,,39
10,21.5,Directed,789,,8
10,20.75,Directed,790,,5
10,18.36397059,Directed,791,,18
34,53,Directed,792,,5
34,2,Directed,793,,76
34,8.5,Directed,795,,12
34,7.75,Directed,796,,28
34,22.06941176,Directed,797,,30
53,34,Directed,798,,5
53,20.5,Directed,801,,5
53,19.75,Directed,802,,2
53,22.06941176,Directed,803,,1
49,57,Directed,804,,8
49,14.06,Directed,809,,1
49,18,Directed,812,,64
49,19.5,Directed,813,,5
49,18.75,Directed,814,,17
49,7.03,Directed,815,,2
50,10,Directed,816,,2
50,10.891875,Directed,821,,1
12,39,Directed,822,,1
12,3,Directed,823,,22
12,19.5,Directed,825,,4
12,18.75,Directed,826,,4
12,26.48329412,Directed,827,,1
51,3,Directed,829,,137
51,14,Directed,830,,34
51,15.5,Directed,831,,8
51,14.75,Directed,832,,4
14,41,Directed,834,,5
14,14,Directed,836,,75
14,15.5,Directed,837,,1
14,14.75,Directed,838,,4
14,21.17010309,Directed,839,,5
26,12.5,Directed,842,,124
26,13.25,Directed,844,,21
26,68.99486301,Directed,845,,3
55,13,Directed,852,,9
55,18.5,Directed,855,,22
55,17.75,Directed,856,,5
55,20.61428571,Directed,857,,2
31,49,Directed,858,,3
31,3,Directed,859,,104
31,16.5,Directed,860,,7
31,18,Directed,861,,53
31,17.25,Directed,862,,15
